SAMPLE;PACKAGE;FRAME;STATUS;PLETH;ADDON;CHECKSUM
543;22;18;130;32365;0;109
544;22;19;130;31962;0;216
545;22;20;130;31620;0;129
546;22;21;130;31352;91;207
547;22;22;130;31168;0;187
548;22;23;128;31064;91;172
549;22;24;128;31030;0;47
550;22;25;128;31049;0;66
551;23;1;129;31101;0;119
552;23;2;128;31166;94;21
553;23;3;128;31225;96;82
554;23;4;128;31265;45;72
555;23;5;128;31278;96;136
556;23;6;128;31262;0;24
557;23;7;128;31217;0;234
558;23;8;128;31147;0;164
559;23;9;128;31059;96;172
560;23;10;128;30957;96;69
561;23;11;128;30848;95;215
562;23;12;128;30735;0;7
563;23;13;128;30623;0;150
564;23;14;128;30517;0;44
565;23;15;128;30422;92;40
566;23;16;128;30339;96;217
567;23;17;128;30274;96;152
568;23;18;128;30239;0;21
569;23;19;128;30260;0;42
570;23;20;128;30379;0;161
571;23;21;128;30643;91;5
572;23;22;128;31078;0;95
573;23;23;128;31681;91;23
574;23;24;128;32405;0;147
575;23;25;128;33162;0;139
576;24;1;129;33853;0;66
577;24;2;128;34394;94;190
578;24;3;128;34738;96;25
579;24;4;128;34881;45;118
580;24;5;128;34848;96;136
581;24;6;128;34683;0;130
582;24;7;128;34430;0;132
583;24;8;130;34126;0;85
584;24;9;130;33792;96;102
585;24;10;130;33444;96;8
586;24;11;130;33089;95;163
587;24;12;130;32736;0;225
588;24;13;130;32399;0;143
589;24;14;130;32097;0;96
590;24;15;130;31846;92;192
591;24;16;130;31659;96;8
592;24;17;130;31545;96;150
593;24;18;128;31497;0;4
594;24;19;128;31504;0;11
595;24;20;128;31553;0;60
596;24;21;128;31632;91;230
597;24;22;128;31724;0;231
598;24;23;128;31812;91;155
599;24;24;128;31885;0;137
600;24;25;128;31931;0;183
601;25;1;129;31944;0;197
602;25;2;128;31926;95;17
603;25;3;128;31881;95;228
604;25;4;128;31816;45;113
605;25;5;128;31736;95;82
606;25;6;128;31650;0;157
607;25;7;128;31560;0;67
608;25;8;128;31470;0;232
609;25;9;128;31384;95;241
610;25;10;128;31302;95;159
611;25;11;128;31226;94;81
612;25;12;128;31160;0;177
613;25;13;128;31110;0;127
614;25;14;128;31094;0;111
615;25;15;128;31139;93;249
616;25;16;128;31285;96;143
617;25;17;128;31571;96;174
618;25;18;128;32016;0;13
619;25;19;128;32601;0;88
620;25;20;128;33268;0;245
621;25;21;128;33929;95;236
622;25;22;128;34494;0;196
623;25;23;128;34893;93;178
624;25;24;128;35099;0;36
625;25;25;128;35126;0;63
626;26;1;129;35009;0;202
627;26;2;128;34789;95;75
628;26;3;128;34506;95;47
629;26;4;130;34188;45;192
630;26;5;130;33852;95;161
631;26;6;130;33507;0;231
632;26;7;130;33166;0;145
633;26;8;130;32839;0;73
634;26;9;130;32539;95;123
635;26;10;130;32285;95;124
636;26;11;130;32094;94;187
637;26;12;130;31974;0;228
638;26;13;130;31926;0;180
639;26;14;128;31942;0;194
640;26;15;128;32007;93;97
641;26;16;128;32100;96;193
642;26;17;128;32202;96;39
643;26;18;128;32297;0;39
644;26;19;128;32373;0;115
645;26;20;128;32424;0;166
646;26;21;128;32444;95;25
647;26;22;128;32436;0;178
648;26;23;128;32404;93;239
649;26;24;128;32352;0;94
650;26;25;128;32287;0;29
651;27;1;129;32212;0;210
652;27;2;128;32128;96;221
653;27;3;128;32039;95;131
654;27;4;128;31947;45;244
655;27;5;128;31854;95;201
656;27;6;128;31764;0;16
657;27;7;128;31682;0;189
658;27;8;128;31612;0;119
659;27;9;128;31558;95;160
660;27;10;128;31531;95;133
661;27;11;128;31548;94;149
662;27;12;128;31641;0;148
663;27;13;128;31840;0;92
664;27;14;128;32174;0;171
665;27;15;128;32647;94;228
666;27;16;128;33225;96;42
667;27;17;128;33841;96;149
668;27;18;128;34414;0;116
669;27;19;128;34865;0;57
670;27;20;128;35146;0;83
671;27;21;128;35244;95;20
672;27;22;128;35181;0;118
673;27;23;128;34999;93;28
674;27;24;128;34737;0;184
675;27;25;130;34427;0;131
676;28;1;131;34096;0;56
677;28;2;130;33756;97;66
678;28;3;130;33419;95;238
679;28;4;130;33093;45;117
680;28;5;130;32791;95;120
681;28;6;130;32528;0;17
682;28;7;130;32321;0;65
683;28;8;130;32184;0;183
684;28;9;130;32121;95;215
685;28;10;128;32125;95;217
686;28;11;128;32184;94;19
687;28;12;128;32279;0;21
688;28;13;128;32389;0;131
689;28;14;128;32497;0;239
690;28;15;128;32591;95;173
691;28;16;128;32658;95;240
692;28;17;128;32695;96;22
693;28;18;128;32699;0;186
694;28;19;128;32675;0;162
695;28;20;128;32627;0;114
696;28;21;128;32562;95;144
697;28;22;128;32487;0;229
698;28;23;128;32404;93;239
699;28;24;128;32316;0;58
